threshold,tpr,fpr,tp,fp,fn,tn,method,kernel_stddev
0.03349724598201937,1.0,0.6809815950920245,43,111,0,52,original_BAME,NaN
0.033446620806870234,1.0,0.6871165644171779,43,112,0,51,original_BAME,NaN
0.03302432721439644,1.0,0.6932515337423313,43,113,0,50,original_BAME,NaN
0.03299974811299127,1.0,0.6993865030674846,43,114,0,49,original_BAME,NaN
0.03171743643165481,1.0,0.7055214723926381,43,115,0,48,original_BAME,NaN
0.03063204656968764,1.0,0.7116564417177914,43,116,0,47,original_BAME,NaN
0.02907940523950953,1.0,0.7177914110429447,43,117,0,46,original_BAME,NaN
0.028360974542065855,1.0,0.7239263803680982,43,118,0,45,original_BAME,NaN
0.026842934060689105,1.0,0.7300613496932515,43,119,0,44,original_BAME,NaN
0.024635317016933927,1.0,0.7361963190184049,43,120,0,43,original_BAME,NaN
0.02400180994747808,1.0,0.7423312883435583,43,121,0,42,original_BAME,NaN
0.02340296868181111,1.0,0.7484662576687117,43,122,0,41,original_BAME,NaN
0.022729688397254155,1.0,0.754601226993865,43,123,0,40,original_BAME,NaN
0.022580865675891616,1.0,0.7607361963190185,43,124,0,39,original_BAME,NaN
0.02190802387960779,1.0,0.7668711656441718,43,125,0,38,original_BAME,NaN
0.0218585104810771,1.0,0.7730061349693251,43,126,0,37,original_BAME,NaN
0.02185751556341144,1.0,0.7791411042944786,43,127,0,36,original_BAME,NaN
0.018566647550406608,1.0,0.7852760736196319,43,128,0,35,original_BAME,NaN
0.01786515007727586,1.0,0.7914110429447853,43,129,0,34,original_BAME,NaN
0.016690775790629088,1.0,0.7975460122699386,43,130,0,33,original_BAME,NaN
0.01559059050212349,1.0,0.803680981595092,43,131,0,32,original_BAME,NaN
0.014174340116999003,1.0,0.8098159509202454,43,132,0,31,original_BAME,NaN
0.012760877563812544,1.0,0.8159509202453987,43,133,0,30,original_BAME,NaN
0.011163366348352799,1.0,0.8220858895705522,43,134,0,29,original_BAME,NaN
0.010558090214403801,1.0,0.8282208588957055,43,135,0,28,original_BAME,NaN
0.0099794307184641,1.0,0.8343558282208589,43,136,0,27,original_BAME,NaN
0.00896498675550966,1.0,0.8404907975460123,43,137,0,26,original_BAME,NaN
0.008675880021399572,1.0,0.8466257668711656,43,138,0,25,original_BAME,NaN
0.008162110641857786,1.0,0.852760736196319,43,139,0,24,original_BAME,NaN
0.007634214989715687,1.0,0.8588957055214724,43,140,0,23,original_BAME,NaN
0.0072136566276081535,1.0,0.8650306748466258,43,141,0,22,original_BAME,NaN
0.006072033495787522,1.0,0.8711656441717791,43,142,0,21,original_BAME,NaN
0.005577470645451058,1.0,0.8773006134969326,43,143,0,20,original_BAME,NaN
0.005479360886589808,1.0,0.8834355828220859,43,144,0,19,original_BAME,NaN
0.005059285090250986,1.0,0.8895705521472392,43,145,0,18,original_BAME,NaN
0.00458734066329062,1.0,0.8957055214723927,43,146,0,17,original_BAME,NaN
0.0038860398473967344,1.0,0.901840490797546,43,147,0,16,original_BAME,NaN
0.003418845628985205,1.0,0.9079754601226994,43,148,0,15,original_BAME,NaN
0.0029259724557269395,1.0,0.9141104294478528,43,149,0,14,original_BAME,NaN
0.002692297415560369,1.0,0.9202453987730062,43,150,0,13,original_BAME,NaN
0.0026793635770573578,1.0,0.9263803680981595,43,151,0,12,original_BAME,NaN
0.0024727724298521754,1.0,0.9325153374233128,43,152,0,11,original_BAME,NaN
0.0023282601137223457,1.0,0.9386503067484663,43,153,0,10,original_BAME,NaN
0.0022836091833872965,1.0,0.9447852760736196,43,154,0,9,original_BAME,NaN
0.0019101808414906103,1.0,0.950920245398773,43,155,0,8,original_BAME,NaN
0.0017273658476448265,1.0,0.9570552147239264,43,156,0,7,original_BAME,NaN
0.001277170362412787,1.0,0.9631901840490797,43,157,0,6,original_BAME,NaN
0.0012107093112501666,1.0,0.9693251533742331,43,158,0,5,original_BAME,NaN
0.0011757726161597544,1.0,0.9754601226993865,43,159,0,4,original_BAME,NaN
0.001024035633901529,1.0,0.9815950920245399,43,160,0,3,original_BAME,NaN
0.0008730440832959316,1.0,0.9877300613496932,43,161,0,2,original_BAME,NaN
0.0007228769724225785,1.0,0.9938650306748467,43,162,0,1,original_BAME,NaN
0.00020961887967080501,1.0,1.0,43,163,0,0,original_BAME,NaN
-Inf,1.0,1.0,43,163,0,0,original_BAME,NaN
